"BLDG_NUM,N,19,11","PRG__NUM,N,19,11","NAME,C,254","GRADES,C,254","ADDRESS,C,254","ZIPCODE,C,254","CATEGORY,C,254","TYPE,C,254","x_1,N,19,11","y_1,N,19,11",,Match Y/N,Match Type,Matched Address,Tiger Line ID,Tiger Side,Longitude,Latitude
81.00000000000,81.00000000000,North Bend,Pre-K - 8.,181 North Bend Road,21229,PK8,Traditional,1395799.38099000000,588947.14847300000,,Match,Exact,"181 N Bend Rd, BALTIMORE, MD, 21229",206412796,R,-76.70562,39.282337
83.00000000000,83.00000000000,William Paca,Pre-K - 5.,200 N. Lakewood Ave.,21224,ES,Traditional,1431302.48912000000,593408.92957500000,,Match,Exact,"200 N Lakewood Ave, BALTIMORE, MD, 21224",206425046,L,-76.57921,39.294533
84.00000000000,84.00000000000,Thomas Johnson,Pre-K - 8.,100 E. Heath Street,21230,PK8,Traditional,1422522.44008000000,584517.76756800000,,Match,Exact,"100 E Heath St, BALTIMORE, MD, 21230",206421297,L,-76.61156,39.27063
85.00000000000,85.00000000000,Fort Worthington,1 - 5.,2701 E. Oliver Street,21213,ES,Traditional,1431490.49793000000,597986.45716600000,,Match,Exact,"2701 E Oliver St, BALTIMORE, MD, 21213",206466255,R,-76.57997,39.308044
86.00000000000,86.00000000000,Lakewood,Pre-K - K.,2625 Federal Street,21213,PKK,Traditional,1430980.26896000000,598268.67215300000,,Match,Non_Exact,"2625 E Federal St, BALTIMORE, MD, 21213",206466171,R,-76.58114,39.309006
87.00000000000,87.00000000000,Windsor Hills,Pre-K - 8.,4001 Alto Road,21216,PK8,Traditional,1402053.37504000000,600953.28489400000,,Match,Exact,"4001 Alto Rd, BALTIMORE, MD, 21216",206413077,L,-76.682915,39.316948
88.00000000000,88.00000000000,Lyndhurst,Pre-K - 5.,621 Wildwood Parkway,21229,ES,Traditional,1402012.36495000000,593196.50611600000,,Match,Exact,"621 Wildwood Pkwy, BALTIMORE, MD, 21229",206436693,R,-76.68387,39.294205
89.00000000000,89.00000000000,Rognel Heights,Pre-K - 8.,4300 Sidehill Road,21229,PK8,Traditional,1399361.78987000000,594300.73848700000,,Match,Exact,"4300 Sidehill Rd, BALTIMORE, MD, 21229",206465896,R,-76.6918,39.298027
95.00000000000,95.00000000000,Franklin Square,Pre-K - 8.,1400 W. Lexington Street,21223,PK8,Traditional,1414034.08697000000,591838.04328200000,,Match,Exact,"1400 W Lexington St, BALTIMORE, MD, 21223",206417499,R,-76.63977,39.29084
97.00000000000,97.00000000000,Collington Square,Pre-K - 8.,1409 N. Collington Ave.,21213,Charter,Conversion Charter,1429298.51511000000,597787.75251100000,,Match,Exact,"1409 N Collington Ave, BALTIMORE, MD, 21213",206423788,R,-76.58719,39.307285
98.00000000000,98.00000000000,Samuel F.B. Morse,Pre-K - 5.,424 S. Pulaski Street,21223,ES,Traditional,1411263.31889000000,588406.24765200000,,Match,Exact,"424 S Pulaski St, BALTIMORE, MD, 21223",206415518,R,-76.64949,39.281788
105.00000000000,105.00000000000,Moravia Park,Pre-K - 8.,6201 Frankford Avenue,21206,PK8,Traditional,1442148.02287000000,601380.40247800000,,Match,Exact,"6201 Frankford Ave, BALTIMORE, MD, 21206",206466222,R,-76.5405,39.32135
